Estimate,Est.Error,lwr0_025,upr0_975,beta
-0.013661019881123903,0.9439652766535327,-1.863075535007347,1.8723896060935785,zgp_gpxysiteeldo_3k_1[83]
-0.2508326493007748,0.9867163556434275,-2.1628584904308736,1.7351360363139972,zgp_gpxysiteeldo_3k_1[84]
-0.3227601578564303,0.9766008478972873,-2.2370585578989677,1.5719418288181128,zgp_gpxysiteeldo_3k_1[85]
-0.836754590519716,0.946344303955459,-2.6416569062719093,1.0557371624079384,zgp_gpxysiteeldo_3k_1[86]
-0.43267169881768247,0.8759669543059305,-2.164836167489764,1.2885260663313878,zgp_gpxysiteeldo_3k_1[87]
0.10526233022098526,0.9741023555009543,-1.8038417087443326,1.9732357282962336,zgp_gpxysiteeldo_3k_1[88]
0.3722988829867168,0.9880708716072666,-1.586420009131619,2.340262344194136,zgp_gpxysiteeldo_3k_1[89]
-0.3063390590933911,0.986157901805882,-2.19949052935898,1.6489782466002554,zgp_gpxysiteeldo_3k_1[90]
-0.23175104914391034,0.9513181482569322,-2.077700538111801,1.6329642035624994,zgp_gpxysiteeldo_3k_1[91]
-0.6762758559738427,0.8896722767887053,-2.4373911481106227,1.068105541496439,zgp_gpxysiteeldo_3k_1[92]
-0.11153211297909343,0.9846449324546476,-2.005740350520239,1.8238560955322107,zgp_gpxysiteeldo_3k_1[93]
0.4504522445072546,0.9366407638166017,-1.379408309828841,2.2798023921212733,zgp_gpxysiteeldo_3k_1[94]
-0.16556874470614916,0.977122394157765,-2.1012884116147585,1.7394876055261386,zgp_gpxysiteeldo_3k_1[95]
0.4351934242960498,0.9313252758338765,-1.3813939690311363,2.251234504864358,zgp_gpxysiteeldo_3k_1[96]
0.020409118296902753,0.9695280504935186,-1.8747861637594985,1.9024965379008507,zgp_gpxysiteeldo_3k_1[97]
0.6976924344128589,0.8796007744500753,-1.0483825045704926,2.402290052359079,zgp_gpxysiteeldo_3k_1[98]
-0.06881113992021726,0.9980515267096347,-2.0192529137937067,1.9212973132181244,zgp_gpxysiteeldo_3k_1[99]
-0.45093929464335714,1.006849851982877,-2.385050297855964,1.5289192703492134,zgp_gpxysiteeldo_3k_1[100]
0.021324932403262078,1.009692992917787,-1.9315789169625381,1.9528979665760227,zgp_gpxysiteeldo_3k_1[101]
0.023685400147558246,0.930542772091477,-1.835815610871238,1.8479327584214469,zgp_gpxysiteeldo_3k_1[102]
0.03475448651861683,0.9815669998158463,-1.8860064048759226,1.9969752997150756,zgp_gpxysiteeldo_3k_1[103]
-0.12663258360240848,0.9731914041040483,-2.0049636335470877,1.7439658080200275,zgp_gpxysiteeldo_3k_1[104]
-0.0038133360150156533,0.9927107181261476,-1.9187396718422882,1.9043799968681405,zgp_gpxysiteeldo_3k_1[105]
-0.004659350930179372,0.9892450487884454,-1.9250750138280184,1.9028196490365012,zgp_gpxysiteeldo_3k_1[106]
-0.6395462443408639,0.8312845244942917,-2.2462952908792406,1.0103911774691485,zgp_gpxysiteeldo_3k_1[107]
-0.12671665460782167,1.0028515350602893,-2.110724433028186,1.8055764533796559,zgp_gpxysiteeldo_3k_1[108]
-0.12853409339338925,0.9820396016229448,-2.0694641323365994,1.7727321482939333,zgp_gpxysiteeldo_3k_1[109]
0.17684769169263592,0.97845362315645,-1.7143822805933595,2.0721192451746,zgp_gpxysiteeldo_3k_1[110]
0.01885555909267617,0.9654434957984265,-1.8544347335685738,1.907046183527593,zgp_gpxysiteeldo_3k_1[111]
-0.6284146661692951,0.92918606893466,-2.4517613783805943,1.2164586108578581,zgp_gpxysiteeldo_3k_1[112]
-0.08495137800471819,0.9796771596439758,-1.9889106205035703,1.8213826637823682,zgp_gpxysiteeldo_3k_1[113]
-0.017938214622150877,0.9704338214846229,-1.963512486584392,1.9034534032340602,zgp_gpxysiteeldo_3k_1[114]
0.10470112798867588,0.9791689400881001,-1.7690948932608046,2.0103982044414264,zgp_gpxysiteeldo_3k_1[115]
-0.05774421291568754,0.9822935580743126,-1.9737352837436162,1.8735047806776688,zgp_gpxysiteeldo_3k_1[116]
-0.38564915398949334,0.9605111658337021,-2.248071459675265,1.5132180439413616,zgp_gpxysiteeldo_3k_1[117]
-0.16756261484188759,0.9942984672831546,-2.145336426966996,1.8016342544348343,zgp_gpxysiteeldo_3k_1[118]
-0.29780239756300303,0.9970268753029201,-2.2195628702471395,1.6533330637426222,zgp_gpxysiteeldo_3k_1[119]
0.2586669063734922,0.9354109904704659,-1.5672906001987053,2.097828166008588,zgp_gpxysiteeldo_3k_1[120]
0.024101784908375255,1.00930081176648,-1.9578120456789687,2.0033658898345776,zgp_gpxysiteeldo_3k_1[121]
0.04372650365654308,1.0087485912503589,-1.9319914362478507,2.0416194529840967,zgp_gpxysiteeldo_3k_1[122]
0.14888615534439517,0.9923740354002359,-1.7747599403374243,2.1386634838113827,zgp_gpxysiteeldo_3k_1[123]
0.13386380419197058,0.9896156460885212,-1.790577120661259,2.1136609467747136,zgp_gpxysiteeldo_3k_1[124]
0.047302617141074185,0.9900655190094527,-1.9227556312743421,1.9922781566444723,zgp_gpxysiteeldo_3k_1[125]
-0.0377910095823457,0.9780642765924372,-1.9616333484721789,1.9005489889783709,zgp_gpxysiteeldo_3k_1[126]
0.3804994406807427,0.9723364123109599,-1.5173942848875184,2.2627674730905736,zgp_gpxysiteeldo_3k_1[127]
-0.1967762454111116,1.0170489494440895,-2.176181076621213,1.7920205544269316,zgp_gpxysiteeldo_3k_1[128]
0.09786639587354233,1.0171319845814444,-1.9067998140468885,2.043468598962129,zgp_gpxysiteeldo_3k_1[129]
0.14628211214270045,0.9863624277284945,-1.8156701328458391,2.0980420696313247,zgp_gpxysiteeldo_3k_1[130]
0.03742435455134797,0.9958448345603844,-1.898701152071424,1.9769828434030874,zgp_gpxysiteeldo_3k_1[131]
0.11821270055813149,0.9514430633049766,-1.7404080984865438,1.988896948021027,zgp_gpxysiteeldo_3k_1[132]
-0.09550913201198918,0.9852603792077635,-1.9978461786319976,1.8632770714216067,zgp_gpxysiteeldo_3k_1[133]
0.056182063920473056,0.9814592206184053,-1.9041004907325467,1.991560660965272,zgp_gpxysiteeldo_3k_1[134]
0.35170096257084144,0.9552565339837835,-1.5207703492180888,2.217794865579006,zgp_gpxysiteeldo_3k_1[135]
-0.013768626935684635,1.0096107590459524,-2.0296469112639635,1.952450776319307,zgp_gpxysiteeldo_3k_1[136]
-0.13593977098529847,0.9806428441489141,-2.084151549803294,1.7966380916730138,zgp_gpxysiteeldo_3k_1[137]
